Название,Жанр,Режиссер,Страна,Год
"Бабочка (фильм, 2015)","драма, и, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, ЛГБТ-фильм, [вд]","Марко Бергер, [, 1, ], [, 2, ]",Аргентина,2015
"Бабочка (фильм, 2004)",драма,Май Ваньсинь,Гонконг,2004
"Бабочка (фильм, 1977)",комедия,"Нинель Ненова, Гено Цулая",СССР,1977
"Бабочка (фильм, 1972)","семейный, ,, мелодрама, ,, драма",Януш Насфетер,Польша,1972
"Бабник (фильм, 2009)","комедия, /, драма, /, мелодрама",Дэвид Маккензи,США,2009
"Бабник (фильм, 1990)",комедия,Анатолий Эйрамджан,СССР,1990
Бабло (фильм),"Комедия, Криминал",Константин Буслов,Россия,2011
Бабич (фильм),"байопик, ,, драма, ,, исторический",Булат Юсупов,Россия,2017
"Бабий Яр (фильм, 2003)",драма,Джеф Кэнью,"Германия, Белоруссия",2003
"Бабий Яр (фильм, 2002)","социальная драма, [вд]",Николай Засеев-Руденко,Украина,2002
Бабетта идёт на войну,"комедийный фильм, ,, военный фильм, и, фарс",Кристиан-Жак,Франция,1959
Бабек (фильм),"исторический фильм, фильм-биография",Эльдар Кулиев,СССР,1979
Бабба Хо-Теп,"фильм ужасов, кинокомедия",Дон Коскарелли,США,2002
"99 (фильм, 1918)",криминальный фильм,Майкл Кёртис,Венгрия,1918
88 минут,триллер,Джон Эвнет,"США, Канада, Германия",2007
Барт снял номер в гостинице,комедия,Брайан Хекер,США,2008
Барселона (фильм),комедия,Уайт Стиллмэн,США,1994
Барри Линдон,драма,Стэнли Кубрик,"Великобритания, США",1975
"Барри (фильм, 2016)","биографический фильм, и, драма",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Викрам Ганди, [вд]",США,"16 декабря, 2016"
"Барретты с Уимпоул-стрит (фильм, 1934)","биографический фильм, ,, драма, [, 1, ], [, 2, ], и, романтический фильм, [, 1, ]",Сидни Франклин,США,1934
"Барракуда (фильм, 1997)","комедия, триллер, драма",Филипп Аим,Франция,1997
"Барракуда (фильм, 1978)","фильм ужасов, /, триллер","Гарри Кервин, Вейн Кроуфорд",США,1978
Барон фон Клаус — садист,фильм ужасов,Хесус Франко,Испания,1962
"Барон Мюнхгаузен (фильм, 1961)","фантастика, приключения, кинокомедия",Карел Земан,Чехословакия,1961
"Барон (фильм, 2016)","боевик, криминальный фильм",Рустам Сагдиев,"Узбекистан, Россия",15 января 2016
Барокко (фильм),"драма, ,, триллер","Андре Тешине, [, 2, ]",Франция,"19 ноября, 1976, [, 1, ], ,, 8 декабря, 1976, [, 1, ], ,, 8 апреля, 1978, [, 1, ], ,, 17 июля, 1978, [, 1, ], ,, сентябрь, 1979, [, 1, ], ,, 29 февраля, 1980, [, 1, ], ,, 6 июля, 1980, [, 1, ], ,, 4 января, 1985, [, 1, ], ,, 12 декабря, 1986, [, 1, ], и, 3 ноября, 1990, [, 1, ]"
"Барни Олдфилд мчится, спасая жизнь",комедия,Мак Сеннет,США,1913
Бармен из «Золотого якоря»,"детективный, ,, приключенческий",Виктор Живолуб,СССР,1986
"Бармен (фильм, 2015)","комедия, мелодрама",Дина Штурманова,Россия,2015
